Designator,Mid X,Mid Y,Rotation,Layer
R1_10,111.283069,-35.956962,135.0,top
R1_9,67.369145,-109.413924,135.0,top
R1_8,111.283069,-109.413924,135.0,top
R1_7,199.110917,-35.956962,135.0,top
R1_6,23.455221,-35.956962,135.0,top
R1_5,155.196993,-35.956962,135.0,top
R1_4,67.369145,-35.956962,135.0,top
R1_3,23.455221,-109.413924,135.0,top
R1_2,155.196993,-109.413924,135.0,top
R1,199.110917,-109.413924,135.0,top
R10_10,151.696993,-101.413924,90.0,top
R10_9,195.610917,-101.413924,90.0,top
R10_8,19.955221,-27.956962,90.0,top
R10_7,107.783069,-101.413924,90.0,top
R10_6,63.869145,-27.956962,90.0,top
R10_5,195.610917,-27.956962,90.0,top
R10_4,107.783069,-27.956962,90.0,top
R10_3,151.696993,-27.956962,90.0,top
R10_2,19.955221,-101.413924,90.0,top
R10,63.869145,-101.413924,90.0,top
R11_10,85.869145,-101.413924,90.0,top
R11_9,217.610917,-27.956962,90.0,top
R11_8,217.610917,-101.413924,90.0,top
R11_7,41.955221,-101.413924,90.0,top
R11_6,173.696993,-101.413924,90.0,top
R11_5,85.869145,-27.956962,90.0,top
R11_4,173.696993,-27.956962,90.0,top
R11_3,129.783069,-101.413924,90.0,top
R11_2,41.955221,-27.956962,90.0,top
R11,129.783069,-27.956962,90.0,top
R12_10,111.283069,-19.956962,45.0,top
R12_9,23.455221,-93.413924,45.0,top
R12_8,199.110917,-19.956962,45.0,top
R12_7,67.369145,-93.413924,45.0,top
R12_6,67.369145,-19.956962,45.0,top
R12_5,199.110917,-93.413924,45.0,top
R12_4,111.283069,-93.413924,45.0,top
R12_3,155.196993,-19.956962,45.0,top
R12_2,23.455221,-19.956962,45.0,top
R12,155.196993,-93.413924,45.0,top
R13_10,170.196993,-109.413924,45.0,top
R13_9,126.283069,-35.956962,45.0,top
R13_8,82.369145,-109.413924,45.0,top
R13_7,38.455221,-35.956962,45.0,top
R13_6,214.110917,-109.413924,45.0,top
R13_5,214.110917,-35.956962,45.0,top
R13_4,170.196993,-35.956962,45.0,top
R13_3,38.455221,-109.413924,45.0,top
R13_2,126.283069,-109.413924,45.0,top
R13,82.369145,-35.956962,45.0,top
R2_10,74.869145,-121.163924,0.0,top
R2_9,206.610917,-121.163924,0.0,top
R2_8,30.955221,-121.163924,0.0,top
R2_7,206.610917,-47.706962,0.0,top
R2_6,118.783069,-121.163924,0.0,top
R2_5,162.696993,-121.163924,0.0,top
R2_4,118.783069,-47.706962,0.0,top
R2_3,74.869145,-47.706962,0.0,top
R2_2,30.955221,-47.706962,0.0,top
R2,162.696993,-47.706962,0.0,top
R3_10,39.455221,-149.163924,90.0,top
R3_9,83.369145,-75.706962,90.0,top
R3_8,127.283069,-149.163924,90.0,top
R3_7,83.369145,-149.163924,90.0,top
R3_6,127.283069,-75.706962,90.0,top
R3_5,39.455221,-75.706962,90.0,top
R3_4,215.110917,-75.706962,90.0,top
R3_3,171.196993,-75.706962,90.0,top
R3_2,171.196993,-149.163924,90.0,top
R3,215.110917,-149.163924,90.0,top
R4_10,198.110917,-149.163924,90.0,top
R4_9,66.369145,-75.706962,90.0,top
R4_8,110.283069,-149.163924,90.0,top
R4_7,198.110917,-75.706962,90.0,top
R4_6,22.455221,-149.163924,90.0,top
R4_5,110.283069,-75.706962,90.0,top
R4_4,154.196993,-149.163924,90.0,top
R4_3,154.196993,-75.706962,90.0,top
R4_2,22.455221,-75.706962,90.0,top
R4,66.369145,-149.163924,90.0,top
R5_10,82.369145,-93.413924,135.0,top
R5_9,170.196993,-19.956962,135.0,top
R5_8,38.455221,-93.413924,135.0,top
R5_7,214.110917,-19.956962,135.0,top
R5_6,214.110917,-93.413924,135.0,top
R5_5,126.283069,-19.956962,135.0,top
R5_4,38.455221,-19.956962,135.0,top
R5_3,170.196993,-93.413924,135.0,top
R5_2,126.283069,-93.413924,135.0,top
R5,82.369145,-19.956962,135.0,top
R6_10,67.869145,-149.163924,90.0,top
R6_9,155.696993,-149.163924,90.0,top
R6_8,199.610917,-149.163924,90.0,top
R6_7,155.696993,-75.706962,90.0,top
R6_6,67.869145,-75.706962,90.0,top
R6_5,23.955221,-149.163924,90.0,top
R6_4,111.783069,-149.163924,90.0,top
R6_3,199.610917,-75.706962,90.0,top
R6_2,111.783069,-75.706962,90.0,top
R6,23.955221,-75.706962,90.0,top
R7_10,37.955221,-75.706962,90.0,top
R7_9,125.783069,-149.163924,90.0,top
R7_8,169.696993,-75.706962,90.0,top
R7_7,169.696993,-149.163924,90.0,top
R7_6,213.610917,-149.163924,90.0,top
R7_5,81.869145,-149.163924,90.0,top
R7_4,81.869145,-75.706962,90.0,top
R7_3,125.783069,-75.706962,90.0,top
R7_2,37.955221,-149.163924,90.0,top
R7,213.610917,-75.706962,90.0,top
R8_10,75.619145,-141.913924,90.0,top
R8_9,31.705221,-141.913924,90.0,top
R8_8,75.619145,-68.456962,90.0,top
R8_7,207.360917,-68.456962,90.0,top
R8_6,119.533069,-141.913924,90.0,top
R8_5,31.705221,-68.456962,90.0,top
R8_4,207.360917,-141.913924,90.0,top
R8_3,119.533069,-68.456962,90.0,top
R8_2,163.446993,-68.456962,90.0,top
R8,163.446993,-141.913924,90.0,top
R9_10,118.033069,-68.456962,90.0,top
R9_9,74.119145,-141.913924,90.0,top
R9_8,161.946993,-141.913924,90.0,top
R9_7,118.033069,-141.913924,90.0,top
R9_6,161.946993,-68.456962,90.0,top
R9_5,30.205221,-141.913924,90.0,top
R9_4,205.860917,-68.456962,90.0,top
R9_3,74.119145,-68.456962,90.0,top
R9_2,205.860917,-141.913924,90.0,top
R9,30.205221,-68.456962,90.0,top
SW1_10,62.869145,-144.413924,270.0,top
SW1_9,150.696993,-70.956962,270.0,top
SW1_8,194.610917,-144.413924,270.0,top
SW1_7,194.610917,-70.956962,270.0,top
SW1_6,18.955221,-70.956962,270.0,top
SW1_5,106.783069,-144.413924,270.0,top
SW1_4,150.696993,-144.413924,270.0,top
SW1_3,106.783069,-70.956962,270.0,top
SW1_2,62.869145,-70.956962,270.0,top
SW1,18.955221,-144.413924,270.0,top
SW2_10,174.696993,-70.956962,270.0,top
SW2_9,218.610917,-144.413924,270.0,top
SW2_8,130.783069,-70.956962,270.0,top
SW2_7,42.955221,-144.413924,270.0,top
SW2_6,218.610917,-70.956962,270.0,top
SW2_5,130.783069,-144.413924,270.0,top
SW2_4,174.696993,-144.413924,270.0,top
SW2_3,86.869145,-70.956962,270.0,top
SW2_2,86.869145,-144.413924,270.0,top
SW2,42.955221,-70.956962,270.0,top
U1_10,206.610917,-58.706962,270.0,top
U1_9,30.955221,-58.706962,270.0,top
U1_8,162.696993,-58.706962,270.0,top
U1_7,206.610917,-132.163924,270.0,top
U1_6,74.869145,-58.706962,270.0,top
U1_5,118.783069,-58.706962,270.0,top
U1_4,74.869145,-132.163924,270.0,top
U1_3,118.783069,-132.163924,270.0,top
U1_2,30.955221,-132.163924,270.0,top
U1,162.696993,-132.163924,270.0,top
